,articleID,headline,multimedia,newDesk,typeOfMaterial
0,5adf6684068401528a2aa69b,Former N.F.L. Cheerleaders??Settlement Offer: $1 and a Meeting With Goodell,68.0,Sports,News
1,5adf653f068401528a2aa697,E.P.A. to Unveil a New Rule. Its Effect: Less Science in Policymaking.,68.0,Climate,News
2,5adf4626068401528a2aa628,"The New Noma, Explained",66.0,Dining,News
3,5adf40d2068401528a2aa619,Unknown,68.0,Washington,News
4,5adf3d64068401528a2aa60f,Unknown,68.0,Foreign,News
5,5adf341f068401528a2aa5e8,Unknown,68.0,Washington,News
6,5adf2a0f068401528a2aa5c8,Unknown,0.0,NYTNow,briefing
7,5adf26cf068401528a2aa5c1,Unknown,68.0,Express,News
8,5adf2108068401528a2aa5b3,How a Bag of Texas Dirt  Became a Times Tradition,68.0,Insider,News
9,5adedaa8068401528a2aa4e6,Is School a Place for Self-Expression?,66.0,Learning,News
10,5adf0063068401528a2aa552,Commuter Reprogramming,66.0,Magazine,News
11,5adf0024068401528a2aa551,Unknown,68.0,Metro,briefing
12,5adef286068401528a2aa537,Unknown,68.0,RealEstate,News
13,5adef237068401528a2aa532,"Ford Changed Leaders, Looking for a Lift. It?™s Still Looking.",66.0,Business,News
14,5adef237068401528a2aa531,"Romney Failed to Win at Utah Convention, But Few Believe He?™s Doomed",67.0,Politics,News
15,5adef230068401528a2aa527,Chain Reaction,66.0,Magazine,News
16,5adef233068401528a2aa52c,He Forced the Vatican to Investigate Sex Abuse. Now He?™s Meeting With Pope Francis.,68.0,National,News
17,5adef22f068401528a2aa525,"In Berlin, artists find a home",68.0,SpecialSections,News
18,5adef226068401528a2aa520,Unknown,68.0,National,News
19,5adef226068401528a2aa51f,The Right Stuff,66.0,BookReview,Review
20,5adef221068401528a2aa517,Jimmy Carter Knows What North Korea Wants,68.0,Magazine,News
21,5adef221068401528a2aa516,The Truth Is Out There,68.0,Magazine,News
22,5adef218068401528a2aa514,New Jersey Ruling Could Reignite Battle Over Church-State Separation,68.0,Metro,News
23,5aded6a7068401528a2aa4e0,Procrastinating,63.0,Learning,News
24,5adec85b068401528a2aa4c1,Word + Quiz: dilatory,0.0,Learning,News
25,5adeae5b068401528a2aa48c,My Life-Threatening Bout With E. Coli Food Poisoning,68.0,Well,News
26,5adea843068401528a2aa47a,"Choosing Brexit, a Town Yearned for Its Seafaring Past, and Muddied Its Future",68.0,Business,News
27,5ade8fa4068401528a2aa465,A Quote Disproved,68.0,Games,News
28,5ade8c22068401528a2aa460,Hot Stuff Turns Cold,68.0,Culture,Review
29,5ade8a5b068401528a2aa45d,"At the Top, The Pay Gap May Be Gone",68.0,Business,News
30,5ade7af0068401528a2aa44b,"Years of Bizarre Behavior, but He Got Guns Back",68.0,National,News
31,5ade7940068401528a2aa448,Will the Court Stand Up to Mr. Trump?,66.0,Editorial,Editorial
32,5ade7448068401528a2aa443,Hope in Arizona,68.0,OpEd,Op-Ed
33,5ade70ca068401528a2aa43f,How Human Rights Groups Failed on Economic Equality,66.0,OpEd,Op-Ed
34,5ade6ca1068401528a2aa43a,An American Tragedy in Nashville,67.0,OpEd,Op-Ed
35,5ade6193068401528a2aa41e,We Don?™t Need No Education,66.0,OpEd,Op-Ed
36,5ade5afd068401528a2aa40f,"Paul Relents, And Pompeo Is Approved By Panel",68.0,Washington,News
37,5ade5764068401528a2aa406,Making Change,0.0,Metro,News
38,5ade43f3068401528a2aa3d6,"Long Overlooked, City Buses Get Some Love in Turnaround Push",68.0,Metro,News
39,5ade33d3068401528a2aa3b1,"Trump?™s First State Dinner Nods to Traditions and Bucks Them, Too",68.0,Washington,News
